BudgetID,FiscalYear,FiscalMonth,AccountID,AccountName,AccountType,CostCenterID,BusinessUnitID,BudgetAmount
BDG001,2024,1,4000,Product Sales,Revenue,CC001,BU001,120000
BDG002,2024,1,4100,Service Revenue,Revenue,CC002,BU002,80000
BDG003,2024,1,5000,Cost of Goods Sold,Expense,CC001,BU001,-70000
BDG004,2024,1,6000,Salaries & Wages,Expense,CC003,BU001,-45000
BDG005,2024,1,6100,Rent Expense,Expense,CC003,BU001,-12000
BDG006,2024,2,4000,Product Sales,Revenue,CC001,BU001,130000
BDG007,2024,2,4100,Service Revenue,Revenue,CC002,BU002,85000
BDG008,2024,2,5000,Cost of Goods Sold,Expense,CC001,BU001,-75000
BDG009,2024,2,6000,Salaries & Wages,Expense,CC003,BU001,-45000
BDG010,2024,2,6200,Marketing Expense,Expense,CC004,BU001,-15000
BDG011,2024,3,4000,Product Sales,Revenue,CC001,BU001,140000
BDG012,2024,3,4100,Service Revenue,Revenue,CC002,BU002,90000
BDG013,2024,3,5000,Cost of Goods Sold,Expense,CC001,BU001,-82000
BDG014,2024,3,6000,Salaries & Wages,Expense,CC003,BU001,-45000
BDG015,2024,3,6400,Insurance,Expense,CC003,BU001,-8000
BDG016,2024,4,4000,Product Sales,Revenue,CC001,BU001,135000
BDG017,2024,4,4100,Service Revenue,Revenue,CC002,BU002,95000
BDG018,2024,4,5000,Cost of Goods Sold,Expense,CC001,BU001,-78000
BDG019,2024,4,6200,Marketing Expense,Expense,CC004,BU001,-20000
BDG020,2024,4,6500,Depreciation,Expense,CC003,BU001,-15000
