OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Revenue,Cost,Profit,RegionID,ChannelID
ORD001,2024-01-15,CUST1001,PROD501,2,149.99,299.98,200.00,99.98,NA,Online
ORD002,2024-01-16,CUST1002,PROD502,1,299.99,299.99,180.00,119.99,EU,Retail
ORD003,2024-01-16,CUST1003,PROD503,3,49.99,149.97,90.00,59.97,AP,Online
ORD004,2024-01-17,CUST1004,PROD501,1,149.99,149.99,100.00,49.99,NA,Online
ORD005,2024-01-18,CUST1005,PROD504,2,199.99,399.98,240.00,159.98,EU,Retail
ORD006,2024-01-19,CUST1001,PROD505,1,79.99,79.99,45.00,34.99,NA,Online
ORD007,2024-01-20,CUST1006,PROD502,2,299.99,599.98,360.00,239.98,AP,Online
ORD008,2024-01-21,CUST1007,PROD506,4,24.99,99.96,60.00,39.96,NA,Retail
ORD009,2024-01-22,CUST1008,PROD503,2,49.99,99.98,60.00,39.98,EU,Online
ORD010,2024-01-23,CUST1009,PROD507,1,449.99,449.99,280.00,169.99,AP,Retail
ORD011,2024-01-24,CUST1010,PROD501,3,149.99,449.97,300.00,149.97,NA,Online
ORD012,2024-01-25,CUST1002,PROD508,1,599.99,599.99,380.00,219.99,EU,Retail
ORD013,2024-01-26,CUST1011,PROD504,2,199.99,399.98,240.00,159.98,AP,Online
ORD014,2024-01-27,CUST1012,PROD509,5,19.99,99.95,50.00,49.95,NA,Retail
ORD015,2024-01-28,CUST1003,PROD502,1,299.99,299.99,180.00,119.99,EU,Online
ORD016,2024-02-01,CUST1013,PROD510,2,89.99,179.98,100.00,79.98,AP,Online
ORD017,2024-02-02,CUST1014,PROD501,1,149.99,149.99,100.00,49.99,NA,Retail
ORD018,2024-02-03,CUST1015,PROD511,3,39.99,119.97,75.00,44.97,EU,Online
ORD019,2024-02-04,CUST1016,PROD507,1,449.99,449.99,280.00,169.99,AP,Retail
ORD020,2024-02-05,CUST1001,PROD512,2,129.99,259.98,160.00,99.98,NA,Online
